Горки Ленинские,4153
Булатниковское,19588
Володарское,6820
Молоковское,6606
Развилковское,12882
Совхоз им. Ленина,4893
Лотошино,5044
Микулинское,3360
Ошейкинское,2517
Можайск,30190
Уваровка,3353
Борисовское,2064
Бородинское,2780
Горетовское,1504
Дровнинское,1886
Замошинское,2901
Клементьевское,2815
Порецкое,3048
Спутник,2577
Юрловское,3350
Ногинск,102592
Старая Купавна,22099
Электроугли,20823
им. Воровского,5202
Обухово,10003
Аксено-Бутырское,8645
Буньковское,7587
Мамонтовское,9912
Ямкинское,4824
Одинцово,140537
Голицыно,17651
Кубинка,20157
Большие Вязёмы,12549
Заречье,5863
Лесной Городок,9511
Новоивановское,5539
Барвихинское,7213
Горское,3846
Ершовское,9231
Жаворонковское,8576
Захаровское,5867
Назарьевское,5099
Никольское,20087
Успенское,12306
Часцовское,7411
Дрезна,11480
Куровское,20844
Ликино-Дулёво,29376
Белавинское,4428
Горское,4160
Давыдовское,11785
Дороховское,8098
Ильинское,3453
Новинское,4320
Соболевское,2388
Пушкино,105479
Ашукино,9544
Зеленоградский,2128
Лесной,8309
Правдинский,10149
Софрино,14671
Черкизово,3336
Ельдигинское,2721
Тарасовское,8713
Царёвское,6580
Раменское,116077
Быково,10843
Ильинский,11233
Кратово,8937
Родники,5189
Удельная,14870
Верейское,6508
Вялковское,6991
Ганусовское,5817
Гжельское,12244
Заболотьевское,11336
Константиновское,6209
Кузнецовское,11255
Никоновское,4804
Новохаритоновское,10671
Островецкое,12254
Рыболовское,5625
Сафоновское,10002
Софьинское,8672
Ульянинское,4635
Чулковское,7606
Сергиев Посад,103444
Краснозаводск,13076
Пересвет,13675
Хотьково,21349
Богородское,8937
Скоропусковский,6686
Березняковское,6766
Васильевское,3455
Лозовское,6549
Реммаш,7061
Селковское,3711
Шеметовское,9232
Оболенск,4543
Пролетарский,4207
Васильевское,3650
Данковское,6048
Дашковское,4193
Калиновское,6021
Липицкое,6977
Солнечногорск,51919
Андреевка,11420
Менделеево,7120
Поварово,8574
Ржавки,4858
Кривцовское,5616
Кутузовское,8934
Лунёвское,7495
Пешковское,12249
Смирновское,3578
Соколовское,6184
Талдом,12777
Вербилки,6891
Запрудня,12378
Северный,3714
Гуслевское,3488
Ермолинское,2017
Квашёнковское,2726
Темповое,1599
Щёлково,125634
Загорянский,7997
Монино,20909
Свердловский,10440
Фряново,11261
Анискинское,9208
Гребневское,3200
Медвежье-Озёрское,7493
Огудневское,3567
Трубинское,4355
Пушкино,105479
Никольское,20087
Петровское,2286
Горки Ленинские,4153
Ильинское,3453
Пушкино,105479
Никольское,20087
Быково,10843
Заречье,5863
Заречье,5863
Пушкино,105479
Васильевское,3455
Васильевское,3650
Успенское,12306
Андреевка,11420
Никольское,20087
Пушкино,105479
Обухово,10003
Лосино-Петровский,25424
Петровское,2286
Ступино,66075
Горки Ленинские,4153
Дороховское,8098
Никольское,20087
Горки Ленинские,4153
Уваровка,3353
Ильинское,3453
Горки Ленинские,4153
Пушкино,105479
Васильевское,3455
Васильевское,3650
Ильинское,3453
Старая Купавна,22099
Горки Ленинские,4153
Егорьевск,73766
Ильинское,3453
Верея,5090
Можайск,30190
Заречье,5863
Пушкино,105479
Спутник,2577
Клин,79168
Ступино,66075
Богородское,8937
Новоивановское,5539
Заречье,5863
Запрудня,12378
Заболотьевское,11336
Никольское,20087
Горки Ленинские,4153
Руза,13182
Тучково,18380
Пески,3626
Володарское,6820
Дубна,75144
Пушкино,105479
Никольское,20087
Богородское,8937
Ямкинское,4824
Никольское,20087
Ильинское,3453
Жуковский,108187
Борисовское,2064
Бородинское,2780
Островецкое,12254
Протвино,36400
Оболенск,4543
Орехово-Зуево,118822
Деденево,6451
Новинское,4320
Наро-Фоминск,62119
Обухово,10003
Богородское,8937
Заболотьевское,11336
Серпухов,125817
Пущино,20962
Васильевское,3455
Васильевское,3650
Пролетарский,4207
Дубна,75144
Васильевское,3455
Васильевское,3650
Кубинка,20157
Зюзино,126573
Старое Крюково,30853
Крюково,97746
Покровское Стрешнево,58299
Марьино,253908
Западное Дегунино,83262
Бирюлево Западное,88401
Марьино,253908
Покровское Стрешнево,58299
Богородское,108111
Вешняки,122123
Восточное Измайлово,77948
Восточное,13631
Гольяново,162715
Ивановское,127565
Измайлово,106741
Косино-Ухтомское,81588
Метрогородок,38879
Новогиреево,98382
Новокосино,107646
Перово,140783
Преображенское,90017
Северное Измайлово,87564
Соколиная Гора,91085
Сокольники,61164
Внуково,25406
Дорогомилово,74865
Крылатское,82593
Кунцево,151423
Можайское,137746
Ново-Переделкино,121947
Очаково-Матвеевское,129890
Проспект Вернадского,63597
Раменки,139127
Солнцево,124797
Тропарево-Никулино,123478
Филевский парк,92740
Фили Давыдково,114907
Матушкино,40351
Савелки,34147
Силино,39987
Старое Крюково,30853
Крюково,97746
Аэропорт,79294
Беговое,42769
Бескудниковское,78971
Войковское,70192
Восточное Дегунино,98864
Головинское,103148
Дмитровское,93217
Западное Дегунино,83262
Коптево,101894
Левобережное,53951
Молжаниновское,9903
Савеловское,59184
Сокол,59349
Тимирязевское,83641
Ховрино,87845
Хорошевское,71127
Алексеевское,80391
Алтуфьевское,57408
Бабушкинское,88296
Бибирево,160053
Бутырское,71013
Лианозово,85837
Лосиноостровское,82869
Марфино,35196
Марьина Роща,67367
Останкинское,63148
Отрадное,185171
Ростокино,39407
Свиблово,62009
Северное Медведково,127451
Северное,34960
Южное Медведково,85521
Ярославское,97859
Куркино,33312
Митино,192876
Покровское Стрешнево,58299
Северное Тушино,165265
Строгино,159973
Хорошево-Мневники,172371
Щукино,110272
Южное Тушино,108978
Арбат,35529
Басманное,110146
Замоскворечье,58637
Красносельское,48534
Мещанское,60778
Пресненское,127462
Таганское,120943
Тверское,77497
Хамовники,108766
Якиманка,27589
Выхино-Жулебино,224796
Капотня,32364
Кузьминки,145680
Лефортово,94102
Люблино,171946
Марьино,253908
Некрасовка,63275
Нижегородское,45208
Печатники,86447
Рязанский,108733
Текстильщики,104815
Южнопортовое,74376
Академическое,109231
Гагаринское,80582
Зюзино,126573
Коньково,156211
Котловка,65811
Ломоносовское,87998
Обручевское,85616
Северное Бутово,95561
Теплый Стан,134298
Черемушки,109547
Южное Бутово,207967
Ясенево,177847
Бирюлево Восточное,154191
Бирюлево Западное,88401
Братеево,109815
Даниловское,93418
Донское,51829
Зябликово,133096
Москворечье-Сабурово,80512
Нагатино-Садовники,82836
Нагатинский Затон,119726
Нагорное,81646
Орехово-Борисово Северное,131926
Орехово-Борисово Южное,147713
Царицыно,128963
Чертаново Северное,114506
Чертаново Центральное,116698
Чертаново Южное,150067
Внуковское,7411
Воскресенское,9716
Десёновское,16901
Кокошкино,16467
Кокошкино,16073
Марушкинское,6993
Московский,57224
Московский,53417
Мосрентген,20104
Рязановское,20436
Сосенское,21089
Филимонковское,6849
Щербинка,51036
Щербинка,51036
Вороновское,8869
Киевский,13594
Кленовское,3617
Краснопахорское,4867
Михайлово-Ярцевское,5377
Новофедоровское,6846
Первомайское,8378
Роговское,3408
Троицк,60924
Щаповское,8517
Старое Крюково,30853
Крюково,97746
Старое Крюково,30853
Крюково,97746
Покровское Стрешнево,58299
Старое Крюково,30853
Крюково,97746
Воскресенское,9716
Старое Крюково,30853
Крюково,97746
Коптево,101894
Марфино,35196
Ивановское,127565
Ивановское,127565
Покровское Стрешнево,58299
Старое Крюково,30853
Гагаринское,80582
Старое Крюково,30853
Ново-Переделкино,121947
Дорогомилово,74865
Ивановское,127565
Ново-Переделкино,121947
Хорошево-Мневники,172371
Ивановское,127565
Марьино,253908
Орехово-Борисово Северное,131926
Орехово-Борисово Южное,147713
Старое Крюково,30853
Крюково,97746
Ивановское,127565
Можайское,137746
Орехово-Борисово Северное,131926
Орехово-Борисово Южное,147713
Ивановское,127565
Марьина Роща,67367
Богородское,108111
Старое Крюково,30853
Крюково,97746
Воскресенское,9716
Старое Крюково,30853
Щукино,110272
Богородское,108111
Марьина Роща,67367
Старое Крюково,30853
Крюково,97746
Ивановское,127565
Орехово-Борисово Северное,131926
Орехово-Борисово Южное,147713
Митино,192876
Орехово-Борисово Северное,131926
Орехово-Борисово Южное,147713
Киевский,13594
Богородское,108111
Ивановское,127565
Васильевское,359
Покровское,556
Покровское,556
Смоленск,330025
Десногорск,27771
Велиж,6788
Беляевское,256
Будницкое,306
Заозерское,310
Крутовское,450
Печенковское,327
Погорельское,300
Селезневское,756
Ситьковское,624
Вязьма,52506
Андрейковское,3456
Вязьма-Брянское,5200
Кайдаковское,2389
Новосельское,2386
Семлевское,3122
Степаниковское,1980
Тумановское,3437
Гагарин,29041
Акатовское,1246
Ашковское,1603
Баскаковское,436
Гагаринское,640
Ельнинское,472
Кармановское,2443
Мальцевское,326
Никольское,2320
Покровское,556
Потаповское,719
Пречистенское,1021
Родомановское,1143
Самуйловское,600
Серго-Ивановское,1143
Токаревское,940
Белохолмское,301
Бердниковское,260
Болтутинское,607
Глинковское,2465
Доброминское,436
Ромодановское,144
Демидов,6213
Пржевальское,1438
Борковское,317
Заборьевское,1514
Слободское,134
Титовщинское,1717
Дорогобуж,9793
Верхнеднепровский,11635
Алексинское,1301
Михайловское,1731
Усвятское,1519
Духовщина,4103
Озерный,5349
Бабинское,868
Бересневское,475
Булгаковское,704
Добринское,970
Пречистенское,1520
Третьяковское,880
Ельня,8993
Бобровичское,844
Коробецкое,1233
Леонидовское,1552
Воргинское,885
Ершичское,3188
Кузьмичское,900
Руханское,975
Кардымово,4606
Березкинское,1535
Каменское,1082
Мольковское,971
Нетризовское,500
Первомайское,871
Соловьевское,556
Тюшинское,961
Шокинское,1042
Красный,4132
Гусинское,4134
Малеевское,1609
Мерлинское,1958
Монастырщина,3600
Александровское,805
Барсуковское,617
Гоголевское,1002
Новомихайловское,726
Соболевское,1156
Татарское,1106
Высоковское,1154
Днепровское,1554
Извековское,1007
Новодугинское,4335
Тесовское,1049
Починок,8545
Васьковское,787
Даньковское,1110
Ивановское,367
Климщинское,600
Княжинское,901
Краснознаменское,390
Ленинское,951
Лосненское,2003
Лысовское,614
Мурыгинское,1359
Переснянское,1420
Прудковское,2670
Стодолищенское ,3534
Стригинское,425
Шаталовское,4136
Шмаковское,319
Рославль,50112
Астапковичское,1025
Богдановское,407
Волковичское,386
Грязенятское,440
Екимовичское,1543
Епишевское,308
Жарынское,855
Ивановское,417
Кирилловское,2609
Костыревское,362
Крапивенское,516
Лесниковское,616
Липовское,900
Любовское,1113
Остерское,3551
Перенское,1007
Пригорьевское,801
Рославльское,708
Савеевское,418
Сырокоренское,545
Хорошовское,589
Рудня,9484
Голынки,3339
Казимировское,1367
Кляриновское,572
Кругловское,1007
Любавичское,780
Переволочское,1247
Понизовское,1601
Смолиговское,1612
Чистиковское,1642
Сафоново,42147
Барановское,1251
Беленинское,957
Богдановщинское,310
Вадинское,2744
Васильевское,359
Вышегорское,1980
Дроздовское,588
Дуровское,625
Зимницкое,742
Игнатковское,342
Издешковское,1540
Казулинское,669
Николо-Погореловское,545
Прудковское,661
Пушкинское,700
Рыбковское,813
Старосельское,467
Волоковское,643
Вязгинское,915
Гнездовское,4202
Дивасовское,6080
Касплянское,1244
Катынское,4451
Козинское,7003
Корохоткинское,5232
Кощинское,2157
Лоинское,584
Михновское,2502
Новосельское,1231
Печерское,6640
Пионерское,1180
Пригорское,5584
Сметанинское,1802
Стабенское,3701
Талашкинское,2531
Хохловское,1768
Сычевка,8220
Дугинское,1201
Караваевское,1519
Мальцевское,1510
Никольское,1043
Батюшковское,1044
Медведевское,1240
Павловское,1230
Темкинское,2346
Всходское,1517
Знаменское,1851
Угранское,4135
Хиславичи,3759
Владимировское,138
Городищенское,519
Иозефовское,307
Кожуховичское,640
Колесниковское,128
Корзовское,562
Микшинское,211
Печерское,612
Соинское,200
Упинское,266
Череповское,393
Холм-Жирковский,3195
Агибаловское,314
Батуринское,200
Богдановское,721
Болышевское,238
Игоревское,1770
Канютинское,381
Лехминское,203
Нахимовское,308
Никитинское,301
Печатниковское,202
Пигулинское,301
Стешинское,259
Томское,220
Тупиковское,608
Шумячи,3817
Надейковичское,500
Озерное,945
Первомайское,1702
Понятовское,708
Руссковское,670
Снегиревское,714
Студенецкое,319
Ярцево,44097
Капыревщинское,2147
Михейковское,1501
Мушковичское,736
Подрощинское,900
Суетовское,2100
Покровское,556
Никольское,2320
Никольское,1043
Никольское,2320
Никольское,1043
Рудня,9484
Сафоново,42147
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Павловское,1230
Васильевское,359
Покровское,556
Никольское,2320
Никольское,1043
Гагарин,29041
Гагаринское,640
Дорогобуж,9793
Городищенское,519
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Никольское,2320
Никольское,1043
Ельня,8993
Васильевское,359
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Озерное,945
Татарское,1106
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Михайловское,1731
Михайловское,1731
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Новомихайловское,726
Никольское,2320
Никольское,1043
Холм-Жирковский,3195
Старосельское,467
Богдановское,407
Богдановское,721
Никольское,2320
Никольское,1043
Алексинское,1301
Никольское,2320
Никольское,1043
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Новомихайловское,726
Борковское,317
Никитинское,301
Каменское,1082
Серго-Ивановское,1143
Ивановское,367
Ивановское,417
Васильевское,359
Васильевское,359
Северо-Западное,12958
Чекалин,914
Суворов,17450
Первомайский,9315
Тула,482873
Алексин,57892
Новогуровский,3460
Донской,63631
Ефремов,35168
Новомосковск,124787
Славный,1864
Арсеньево,4704
Астаповское,2996
Манаенское,1911
Белев,13180
Правобережное,2225
Левобережное,4298
Богородицк,31139
Бахметьевское,1753
Бегичевское,4688
Иевлевское,2800
Товарковское,10689
Венев,14191
Мордвесское,3648
Грицовское,7227
Центральное,6479
Волово,3537
Двориковское,5742
Турдейское,4110
Дубна,5779
Воскресенское,6256
Протасовское,2225
Заокский,6548
Малаховское,4449
Демидовское,5027
Страховское,4861
Архангельское,4776
Яблоневское,3951
Кимовск,25951
Епифанское,6126
Новольвовское,5747
Киреевск,25741
Болохово,9043
Липки,8541
Богучаровское,1558
Бородинское,9459
Дедиловское,3332
Красноярское,1488
Шварцевское,6204
Приупское,3261
Куркино,4974
Михайловское,3209
Самарское,1356
Одоев,5463
Северо-Одоевское,1739
Восточно-Одоевское,3049
Южно-Одоевское,2323
Плавск,15920
Молочно-Дворское,6006
Камынинское,2753
Пригородное,3011
Суворов,17450
Чекалин,914
Северо-Западное,12958
Юго-Восточное,3326
Теплое,4881
Волчье-Дубравское,3857
Нарышкинское,3311
Узловая,51358
Смородинское,2973
Каменецкое,6419
Шахтерское,20185
Чернь,6348
Липицкое,3192
Северное,5813
Тургеневское,4379
Щекино,57979
Советск,7405
Первомайский,9315
Яснополянское,5698
Крапивенское,4514
Лазаревское,7732
Ломинцевское,6660
Огаревское,7034
Ясногорск,15706
Ревякинское,7953
Иваньковское,2588
Теляковское,3246
Воскресенское,6256
Чернь,6348
Щекино,57979
Теплое,4881
Архангельское,4776
Михайловское,3209
Михайловское,3209
Архангельское,4776
Воскресенское,6256
Дубна,5779
Алексин,57892
Заокский,6548
Бородинское,9459
Дубна,5779
